description,category,label
forensics confirmed toxin detected,1,Biological Evidence
evidence suggests traces of chloroform on the rag,1,Biological Evidence
officers noticed bloody knife found in the dumpster,2,Weaponry
officers noticed stabbed with a knife,2,Weaponry
forensics confirmed shotgun at the scene,2,Weaponry
blood at scene,1,Biological Evidence
lab results revealed there is blood on the floor,1,Biological Evidence
investigators found victim strangled with a rope,2,Weaponry
victim was blackmailing the suspect via email,3,Digital Evidence
forensics confirmed blood on the wall,1,Biological Evidence
victim shows signs of blunt force trauma,2,Weaponry
investigators found camera footage exists,3,Digital Evidence
lab results revealed victim was blackmailing the suspect via email,3,Digital Evidence
crime scene showed financial records tampered,3,Digital Evidence
poison used,1,Biological Evidence
evidence suggests muddy footprints near the window,0,Trace Evidence
lab results revealed dna evidence found,1,Biological Evidence
evidence suggests victim was blackmailing the suspect via email,3,Digital Evidence
investigators found hidden camera recorded the crime,3,Digital Evidence
detective uncovered large amounts of stolen money,3,Digital Evidence
crime scene showed victim was poisoned,1,Biological Evidence
lab results revealed he is armed with a gun,2,Weaponry
chemical evidence,1,Biological Evidence
officers noticed blood spatter pattern on the wall,1,Biological Evidence
cyanide vial discovered in the bin,1,Biological Evidence
officers noticed arsenic found in the victims tea,1,Biological Evidence
investigators found massive credit card fraud detected,3,Digital Evidence
crime scene showed illegal firearm found in suspects car,2,Weaponry
detective uncovered trail of footsteps,0,Trace Evidence
crime scene showed a loaded gun was found,2,Weaponry
detective uncovered they committed fraud,3,Digital Evidence
detective uncovered victim strangled with a rope,2,Weaponry
detective uncovered unlocked back door,0,Trace Evidence
detective uncovered assault with a deadly weapon,2,Weaponry
investigators found body found with stab wounds in the cellar,2,Weaponry
lab results revealed illegal firearm found in suspects car,2,Weaponry
crime scene showed pistol found at scene,2,Weaponry
forensics confirmed they committed fraud,3,Digital Evidence
forensics confirmed cigarette butt near the entrance,0,Trace Evidence
evidence suggests evidence of a forced entry,0,Trace Evidence
evidence suggests victim was poisoned,1,Biological Evidence
evidence suggests door was left open,0,Trace Evidence
crime scene showed traces of poison,1,Biological Evidence
detective uncovered he has a gun,2,Weaponry
investigators found poison detected in the wine glass,1,Biological Evidence
blood spatter pattern on the wall,1,Biological Evidence
chemical evidence,1,Biological Evidence
crime scene showed toxicology confirms deliberate poisoning,1,Biological Evidence
investigators found clues found near the entrance,0,Trace Evidence
officers noticed victim poisoned with rare toxin,1,Biological Evidence
detective uncovered cigarette butt near the entrance,0,Trace Evidence
lab results revealed they found a gun,2,Weaponry
open window in the hallway,0,Trace Evidence
crime scene showed cigarette butt near the entrance,0,Trace Evidence
chair knocked over,0,Trace Evidence
detective uncovered explosive device found,2,Weaponry
forensics confirmed saliva found on the discarded cigarette,1,Biological Evidence
forensics confirmed door was left open,0,Trace Evidence
officers noticed misplaced keys on the kitchen counter,0,Trace Evidence
officers noticed massive credit card fraud detected,3,Digital Evidence
forensics confirmed victim shows signs of blunt force trauma,2,Weaponry
crime scene showed bomb was planted,2,Weaponry
she pulled out a gun,2,Weaponry
forensics confirmed poison detected in the wine glass,1,Biological Evidence
crime scene showed victim had been drugged,1,Biological Evidence
detective uncovered clues found near the entrance,0,Trace Evidence
lab results revealed debris in the hallway,0,Trace Evidence
victim was blackmailing the suspect via email,3,Digital Evidence
chemical evidence,1,Biological Evidence
signs of struggle,0,Trace Evidence
crime scene showed traces of chloroform on the rag,1,Biological Evidence
officers noticed torn piece of fabric on the fence,0,Trace Evidence
investigators found secret compartment found with stolen documents,3,Digital Evidence
officers noticed they committed fraud,3,Digital Evidence
financial records tampered,3,Digital Evidence
evidence suggests saliva found on the discarded cigarette,1,Biological Evidence
detective uncovered victim strangled with a rope,2,Weaponry
lab results revealed unauthorized bank transfer at 3 AM,3,Digital Evidence
officers noticed gunshot wound,2,Weaponry
officers noticed victim poisoned with rare toxin,1,Biological Evidence
detective uncovered victim life insurance recently increased,3,Digital Evidence
detective uncovered marks on the floor,0,Trace Evidence
evidence suggests dna sample collected,1,Biological Evidence
money was stolen,3,Digital Evidence
investigators found they committed fraud,3,Digital Evidence
gun found,2,Weaponry
officers noticed gun was discovered,2,Weaponry
evidence suggests door was left open,0,Trace Evidence
officers noticed overturned chair in the kitchen,0,Trace Evidence
forced entry,0,Trace Evidence
forensics confirmed something is missing,0,Trace Evidence
officers noticed traces of poison,1,Biological Evidence
evidence suggests assault with a deadly weapon,2,Weaponry
crime scene showed blood spatter pattern on the wall,1,Biological Evidence
suspect armed,2,Weaponry
evidence suggests toxin detected,1,Biological Evidence
chemical evidence,1,Biological Evidence
crime scene showed online transaction suspicious,3,Digital Evidence
investigators found clues found near the entrance,0,Trace Evidence
detective uncovered broken coffee mug on the floor,0,Trace Evidence
detective uncovered chair knocked over,0,Trace Evidence
lab results revealed displaced rug near the fireplace,0,Trace Evidence
detective uncovered displaced rug near the fireplace,0,Trace Evidence
forensics confirmed firearm recovered,2,Weaponry
officers noticed clues found near the entrance,0,Trace Evidence
investigators found a loaded gun was found,2,Weaponry
forensics confirmed cigarette butt near the entrance,0,Trace Evidence
forensics confirmed missing pen from the desk,0,Trace Evidence
detective uncovered rifle discovered,2,Weaponry
forensics confirmed window was broken,0,Trace Evidence
lab results revealed heavy blunt object with blood found,2,Weaponry
forensics confirmed stabbed with a knife,2,Weaponry
forensics confirmed gunshot wound,2,Weaponry
victim shows signs of blunt force trauma,2,Weaponry
lab results revealed dust disturbed on the shelf,0,Trace Evidence
bank fraud,3,Digital Evidence
forensics confirmed wet umbrella near the coat rack,0,Trace Evidence
crime scene showed cigarette butt near the entrance,0,Trace Evidence
officers noticed unauthorized bank transfer at 3 AM,3,Digital Evidence
forensics confirmed poison detected in the wine glass,1,Biological Evidence
cigarette butt near the entrance,0,Trace Evidence
wet umbrella near the coat rack,0,Trace Evidence
detective uncovered overturned chair in the kitchen,0,Trace Evidence
evidence suggests dna evidence found,1,Biological Evidence
crime scene showed unlocked back door,0,Trace Evidence
data was stolen,3,Digital Evidence
officers noticed displaced rug near the fireplace,0,Trace Evidence
forensics confirmed there is blood on the floor,1,Biological Evidence
chemical evidence,1,Biological Evidence
investigators found bank account was hacked,3,Digital Evidence
investigators found pistol found at scene,2,Weaponry
chemical evidence,1,Biological Evidence
crime scene showed massive credit card fraud detected,3,Digital Evidence
evidence suggests muddy footprints near the window,0,Trace Evidence
evidence suggests chemical substance found,1,Biological Evidence
crime scene showed blood stains found on the kitchen floor,1,Biological Evidence
detective uncovered gunshot residue on the suspect hands,2,Weaponry
investigators found knife was found at the scene,2,Weaponry
he stole money,3,Digital Evidence
he was armed,2,Weaponry
detective uncovered toxin detected,1,Biological Evidence
he was armed,2,Weaponry
firearm recovered,2,Weaponry
lab results revealed massive credit card fraud detected,3,Digital Evidence
investigators found muddy footprints near the window,0,Trace Evidence
forensics confirmed deleted text messages recovered from victims phone,3,Digital Evidence
trail of footsteps,0,Trace Evidence
missing pen from the desk,0,Trace Evidence
evidence suggests victim had been drugged,1,Biological Evidence
lab results revealed poison detected in the wine glass,1,Biological Evidence
crime scene showed victim shows signs of blunt force trauma,2,Weaponry
he has a gun,2,Weaponry
crime scene showed bank account was hacked,3,Digital Evidence
money fraud,3,Digital Evidence
explosive device found,2,Weaponry
investigators found blood spatter pattern on the wall,1,Biological Evidence
money fraud,3,Digital Evidence
forensics confirmed murder weapon hidden under floorboards,2,Weaponry
detective uncovered camera footage exists,3,Digital Evidence
footprints found,0,Trace Evidence
investigators found misplaced keys on the kitchen counter,0,Trace Evidence
lab results revealed knife was found at the scene,2,Weaponry
victim shows signs of blunt force trauma,2,Weaponry
crime scene showed digital evidence recovered,3,Digital Evidence
forensics confirmed body found with stab wounds in the cellar,2,Weaponry
detective uncovered wet umbrella near the coat rack,0,Trace Evidence
